tenure,Contract,MonthlyCharges,PaymentMethod,InternetService,OnlineSecurity,TechSupport,Churn_Probability,Risk_Segment,Action_Plan
10,Month-to-month,55.2,Credit card (automatic),DSL,No,Yes,0.77,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🔴 URGENT: Flag for immediate customer success team outreach
21,Month-to-month,90.05,Electronic check,Fiber optic,No,No,0.18,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
1,Month-to-month,39.65,Electronic check,DSL,No,No,1.0,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
12,One year,19.8,Bank transfer (automatic),No,No internet service,No internet service,0.18,🟢 Low Risk,✅ No action needed
1,Month-to-month,20.15,Mailed check,No,No internet service,No internet service,0.98,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔴 URGENT: Flag for immediate customer success team outreach
58,Two year,59.9,Credit card (automatic),DSL,No,Yes,0.02,🟢 Low Risk,🔒 Upsell: Offer free 1-month OnlineSecurity trial
49,Month-to-month,59.6,Credit card (automatic),DSL,Yes,Yes,0.04,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan
30,Month-to-month,55.3,Bank transfer (automatic),DSL,Yes,No,0.08,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🛠️ Support: Proactively reach out with free TechSupport session
47,Month-to-month,99.35,Electronic check,Fiber optic,No,No,0.91,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
1,Month-to-month,30.2,Electronic check,DSL,No,No,0.98,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
72,Two year,90.25,Credit card (automatic),DSL,Yes,Yes,0.0,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
17,Month-to-month,64.7,Mailed check,DSL,No,No,1.0,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
71,Two year,96.35,Credit card (automatic),Fiber optic,Yes,Yes,0.0,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
2,Month-to-month,95.5,Credit card (automatic),Fiber optic,No,No,0.86,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
27,One year,66.15,Mailed check,DSL,Yes,Yes,0.05,🟢 Low Risk,✅ No action needed
1,Month-to-month,20.2,Bank transfer (automatic),No,No internet service,No internet service,0.2901388888888889,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan
1,Month-to-month,45.25,Bank transfer (automatic),DSL,No,No,0.6,🟡 Medium Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
72,Two year,99.9,Bank transfer (automatic),Fiber optic,Yes,Yes,0.02,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
5,Month-to-month,69.7,Electronic check,Fiber optic,No,No,0.99,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
46,Month-to-month,74.8,Credit card (automatic),Fiber optic,No,No,0.16,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
34,Month-to-month,106.35,Electronic check,Fiber optic,No,No,0.91,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
11,Month-to-month,97.85,Bank transfer (automatic),Fiber optic,No,No,0.99,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
10,One year,49.55,Mailed check,DSL,No,No,0.07,🟢 Low Risk,🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
70,Two year,69.2,Credit card (automatic),DSL,Yes,No,0.02,🟢 Low Risk,🛠️ Support: Proactively reach out with free TechSupport session
17,One year,20.75,Mailed check,No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
63,Two year,79.85,Credit card (automatic),DSL,Yes,Yes,0.11,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
13,Month-to-month,76.2,Electronic check,DSL,Yes,Yes,0.1,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
49,Month-to-month,84.5,Electronic check,Fiber optic,No,No,0.69,🟡 Medium Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
2,Month-to-month,49.25,Mailed check,DSL,No,No,0.12,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
2,Month-to-month,80.65,Electronic check,Fiber optic,No,No,0.99,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
52,Two year,79.75,Credit card (automatic),DSL,Yes,Yes,0.05,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
69,Two year,64.15,Credit card (automatic),DSL,Yes,Yes,0.01,🟢 Low Risk,✅ No action needed
43,Month-to-month,90.25,Electronic check,Fiber optic,No,No,0.56,🟡 Medium Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
15,Month-to-month,99.1,Credit card (automatic),Fiber optic,Yes,No,0.86,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
25,Month-to-month,69.5,Credit card (automatic),DSL,Yes,Yes,0.34,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan
8,Month-to-month,80.65,Credit card (automatic),Fiber optic,No,No,0.98,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
60,One year,74.85,Credit card (automatic),DSL,Yes,Yes,0.07,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
18,Month-to-month,95.45,Electronic check,Fiber optic,No,No,0.91,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
63,One year,99.65,Credit card (automatic),Fiber optic,Yes,No,0.06,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session
66,One year,108.45,Electronic check,Fiber optic,No,Yes,0.35,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
34,Two year,24.95,Credit card (automatic),No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
72,Two year,107.5,Credit card (automatic),Fiber optic,No,Yes,0.05,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial
47,Month-to-month,100.5,Electronic check,Fiber optic,No,No,0.27,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
60,Month-to-month,89.9,Bank transfer (automatic),Fiber optic,No,No,0.22,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
72,Two year,42.1,Bank transfer (automatic),DSL,Yes,No,0.04,🟢 Low Risk,🛠️ Support: Proactively reach out with free TechSupport session
18,One year,54.4,Credit card (automatic),DSL,No,Yes,0.06,🟢 Low Risk,🔒 Upsell: Offer free 1-month OnlineSecurity trial
9,Month-to-month,94.4,Electronic check,Fiber optic,No,No,1.0,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
3,Month-to-month,75.3,Electronic check,DSL,No,Yes,0.17,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
47,One year,78.9,Electronic check,Fiber optic,No,No,0.22,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
31,Two year,79.2,Mailed check,DSL,No,Yes,0.02,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial
50,Two year,20.15,Bank transfer (automatic),No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
10,Month-to-month,79.85,Mailed check,Fiber optic,Yes,No,0.36,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session
1,Month-to-month,49.05,Mailed check,DSL,No,Yes,0.15,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial
52,One year,20.4,Electronic check,No,No internet service,No internet service,0.05,🟢 Low Risk,💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
64,Two year,111.6,Bank transfer (automatic),Fiber optic,Yes,Yes,0.13,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
62,Two year,24.25,Bank transfer (automatic),No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
3,Month-to-month,64.5,Bank transfer (automatic),DSL,Yes,Yes,0.08,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan
56,One year,110.5,Electronic check,Fiber optic,Yes,No,0.19,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
46,One year,55.65,Credit card (automatic),DSL,No,No,0.05,🟢 Low Risk,🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
8,Month-to-month,54.65,Mailed check,DSL,Yes,No,0.25,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🛠️ Support: Proactively reach out with free TechSupport session
30,Month-to-month,74.75,Electronic check,DSL,Yes,No,0.17,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
45,One year,25.9,Credit card (automatic),No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
1,Month-to-month,79.35,Electronic check,Fiber optic,No,No,0.98,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
11,Month-to-month,50.55,Electronic check,DSL,Yes,No,0.12,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
7,Month-to-month,75.15,Bank transfer (automatic),Fiber optic,No,No,0.99,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
42,Month-to-month,103.8,Bank transfer (automatic),Fiber optic,No,Yes,0.13,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial
49,Two year,20.15,Bank transfer (automatic),No,No internet service,No internet service,0.01,🟢 Low Risk,✅ No action needed
9,Month-to-month,99.3,Credit card (automatic),Fiber optic,No,No,0.48,🟡 Medium Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
35,One year,62.15,Bank transfer (automatic),DSL,Yes,No,0.01,🟢 Low Risk,🛠️ Support: Proactively reach out with free TechSupport session
48,Two year,20.65,Bank transfer (automatic),No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
46,Two year,19.95,Mailed check,No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
29,Month-to-month,33.75,Mailed check,DSL,No,No,0.14,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
30,Month-to-month,82.05,Bank transfer (automatic),Fiber optic,No,No,0.11,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
1,Month-to-month,74.7,Electronic check,Fiber optic,No,Yes,0.23,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
66,Two year,84.0,Mailed check,DSL,Yes,Yes,0.03,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
65,Month-to-month,111.05,Credit card (automatic),Fiber optic,Yes,No,0.05,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session
72,Two year,100.9,Bank transfer (automatic),Fiber optic,No,No,0.04,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
12,Month-to-month,78.95,Electronic check,Fiber optic,Yes,No,1.0,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
71,One year,66.85,Credit card (automatic),DSL,Yes,Yes,0.02,🟢 Low Risk,✅ No action needed
5,Month-to-month,21.05,Mailed check,No,No internet service,No internet service,0.99,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔴 URGENT: Flag for immediate customer success team outreach
52,Two year,21.0,Bank transfer (automatic),No,No internet service,No internet service,0.02,🟢 Low Risk,✅ No action needed
25,Month-to-month,98.5,Electronic check,Fiber optic,No,No,0.94,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
1,Month-to-month,20.2,Mailed check,No,No internet service,No internet service,0.6293903318903316,🟡 Medium Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan
1,Month-to-month,19.45,Electronic check,No,No internet service,No internet service,0.25,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
38,One year,95.0,Bank transfer (automatic),Fiber optic,No,Yes,0.11,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial
66,One year,45.55,Bank transfer (automatic),DSL,No,No,0.02,🟢 Low Risk,🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
68,Two year,110.0,Bank transfer (automatic),Fiber optic,No,Yes,0.95,🔴 High Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🔴 URGENT: Flag for immediate customer success team outreach
5,Month-to-month,24.3,Mailed check,DSL,No,No,0.52,🟡 Medium Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
72,One year,104.15,Electronic check,Fiber optic,Yes,No,0.05,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
32,One year,30.15,Mailed check,DSL,Yes,No,0.03,🟢 Low Risk,🛠️ Support: Proactively reach out with free TechSupport session
43,One year,94.35,Mailed check,Fiber optic,No,No,0.12,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
72,Two year,19.4,Credit card (automatic),No,No internet service,No internet service,0.01,🟢 Low Risk,✅ No action needed
55,Month-to-month,96.75,Electronic check,Fiber optic,Yes,No,0.92,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
52,One year,57.95,Credit card (automatic),DSL,Yes,Yes,0.13,🟢 Low Risk,✅ No action needed
43,Month-to-month,91.65,Electronic check,Fiber optic,No,No,0.07,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
37,Month-to-month,76.5,Electronic check,Fiber optic,No,No,0.99,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
64,Two year,54.6,Electronic check,DSL,No,Yes,0.04,🟢 Low Risk,🔒 Upsell: Offer free 1-month OnlineSecurity trial | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
